co_acesso,codigo,dt_ini_operacao,ic_participa_compe,ispb,no_extenso,nome
RSFN,17.0,"time.struct_time(tm_year=2012, tm_mon=11, tm_mday=19, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=324, tm_isdst=-1)",Sim,42272526,BNY Mellon Banco S.A.,BNY MELLON BCO S.A.
RSFN,174.0,"time.struct_time(tm_year=2017, tm_mon=11, tm_mday=21, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=325, tm_isdst=-1)",Não,43180355,"Pernambucanas Financiadora S.A. Crédito, Financiamento e Investimento",PERNAMBUCANAS FINANC S.A. CFI
RSFN,495.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,44189447,Banco de La Provincia de Buenos Aires,BCO LA PROVINCIA B AIRES BCE
RSFN,125.0,"time.struct_time(tm_year=2012, tm_mon=11, tm_mday=19, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=324, tm_isdst=-1)",Sim,45246410,Brasil Plural S.A. Banco Múltiplo,BRASIL PLURAL S.A. BCO.
RSFN,488.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,46518205,"JPMorgan Chase Bank, National Association",JPMORGAN CHASE BANK
RSFN,65.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,48795256,Banco AndBank (Brasil) S.A.,BCO ANDBANK S.A.
RSFN,,"time.struct_time(tm_year=2004, tm_mon=5, tm_mday=13, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=134, tm_isdst=-1)",Não,49334758,"BMF Bovespa S.A. - Bolsa de Valores, Mercadorias e Futuros - Camara Ativos",BMF Ativos
RSFN,492.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,49336860,ING Bank N.V.,ING BANK N.V.
Internet,145.0,"time.struct_time(tm_year=2015, tm_mon=6, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=167, tm_isdst=-1)",Não,50579044,Levycam - Corretora de Câmbio e Valores Ltda.,LEVYCAM CCV LTDA
RSFN,250.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,50585090,BCV - Banco de Crédito e Varejo S/A,BCV
RSFN,494.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,51938876,Banco de La Republica Oriental del Uruguay,BCO REP ORIENTAL URUGUAY BCE
Internet,253.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=11, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=316, tm_isdst=-1)",Não,52937216,Bexs Corretora de Câmbio S/A,BEXS CC S.A.
RSFN,269.0,"time.struct_time(tm_year=2018, tm_mon=2, tm_mday=7, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=38, tm_isdst=-1)",Não,53518684,HSBC Brasil S.A. Banco de Investimento,HSBC BANCO DE INVESTIMENTO
RSFN,213.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,54403563,Banco Arbi S.A.,BCO ARBI S.A.
RSFN,,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,54641030,"BMF Bovespa S.A. - Bolsa de Valores, Mercadorias e Futuros - Camara BMFBOVESPA",BMFBOVESPA
RSFN,139.0,"time.struct_time(tm_year=2015, tm_mon=5, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=128, tm_isdst=-1)",Não,55230916,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo,INTESA SANPAOLO BRASIL S.A. BM
RSFN,18.0,"time.struct_time(tm_year=2013, tm_mon=8, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=217, tm_isdst=-1)",Sim,57839805,Banco Tricury S.A.,BCO TRICURY S.A.
RSFN,422.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,58160789,Banco Safra S.A.,BCO SAFRA S.A.
RSFN,630.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,58497702,Banco Intercap S.A.,BCO INTERCAP S.A.
RSFN,224.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,58616418,Banco Fibra S.A.,BCO FIBRA S.A.
RSFN,600.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,59118133,Banco Luso Brasileiro S.A.,BCO LUSO BRASILEIRO S.A.
RSFN,623.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,59285411,Banco Pan S.A.,BANCO PAN
RSFN,204.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,59438325,Banco Bradesco Cartões S.A.,BCO BRADESCO CARTOES S.A.
RSFN,655.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,59588111,Banco Votorantim S.A.,BCO VOTORANTIM S.A.
RSFN,479.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,60394079,Banco ItauBank S.A.,BCO ITAUBANK S.A.
RSFN,456.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,60498557,Banco MUFG Brasil S.A.,BCO MUFG BRASIL S.A.
RSFN,464.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,60518222,Banco Sumitomo Mitsui Brasileiro S.A.,BCO SUMITOMO MITSUI BRASIL S.A.
RSFN,341.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,60701190,Itaú Unibanco  S.A.,ITAÚ UNIBANCO BM S.A.
RSFN,237.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,60746948,Banco Bradesco S.A.,BCO BRADESCO S.A.
RSFN,613.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,60850229,Omni Banco S.A.,OMNI BANCO S.A.
RSFN,652.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,60872504,Itaú Unibanco Holding S.A.,ITAÚ UNIBANCO HOLDING BM S.A.
RSFN,637.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,60889128,Banco Sofisa S. A.,BCO SOFISA S.A.
RSFN,,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,60934221,"BMF Bovespa S/A - Bolsa de Valores, Mercadorias e Futuros - Camara Cambio",BMF Câmbio
RSFN,653.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,61024352,Banco Indusval S. A.,BCO INDUSVAL S.A.
RSFN,69.0,"time.struct_time(tm_year=2005, tm_mon=11, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=322, tm_isdst=-1)",Sim,61033106,Banco Crefisa S.A.,BCO CREFISA S.A.
RSFN,370.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,61088183,Banco Mizuho do Brasil S.A.,BCO MIZUHO S.A.
RSFN,249.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,61182408,Banco Investcred Unibanco S.A.,BANCO INVESTCRED UNIBANCO S.A.
RSFN,318.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,61186680,Banco BMG S.A.,BCO BMG S.A.
RSFN,626.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,61348538,Banco Ficsa S. A.,BCO FICSA S.A.
RSFN,366.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,61533584,Banco Société Générale Brasil S.A.,BCO SOCIETE GENERALE BRASIL
RSFN,113.0,"time.struct_time(tm_year=2011, tm_mon=11, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=332, tm_isdst=-1)",Não,61723847,Magliano S.A. Corretora de Cambio e Valores Mobiliarios,MAGLIANO S.A. CCVM
RSFN,131.0,"time.struct_time(tm_year=2013, tm_mon=7, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=196, tm_isdst=-1)",Não,61747085,Tullett Prebon Brasil Corretora de Valores e Câmbio Ltda.,TULLETT PREBON BRASIL CVC LTDA
RSFN,11.0,"time.struct_time(tm_year=2011, tm_mon=6, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=179, tm_isdst=-1)",Não,61809182,Credit Suisse Hedging-Griffo Corretora de Valores S.A.,C.SUISSE HEDGING-GRIFFO CV S/A
RSFN,611.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,61820817,Banco Paulista S.A.,BCO PAULISTA S.A.
RSFN,755.0,"time.struct_time(tm_year=2007, tm_mon=11, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=313, tm_isdst=-1)",Sim,62073200,Bank of America Merrill Lynch Banco Múltiplo S.A.,BOFA MERRILL LYNCH BM S.A.
RSFN,89.0,"time.struct_time(tm_year=2010, tm_mon=8, tm_mday=30, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=242, tm_isdst=-1)",Sim,62109566,Cooperativa de Crédito Rural da Região da Mogiana,CCR REG MOGIANA
RSFN,643.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,62144175,Banco Pine S.A.,BCO PINE S.A.
RSFN,140.0,"time.struct_time(tm_year=2015, tm_mon=5, tm_mday=26, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=146, tm_isdst=-1)",Não,62169875,Easynvest - Título Corretora de Valores SA,EASYNVEST - TÍTULO CV SA
RSFN,707.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,62232889,Banco Daycoval S.A.,BCO DAYCOVAL S.A
RSFN,101.0,"time.struct_time(tm_year=2010, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=112, tm_isdst=-1)",Não,62287735,Renascença Distribuidora de Títulos e Valores Mobiliários Ltda.,RENASCENCA DTVM LTDA
RSFN,487.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,62331228,Deutsche Bank S.A. - Banco Alemão,DEUTSCHE BANK S.A.BCO ALEMAO
RSFN,233.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Não,62421979,Banco Cifra S.A.,BANCO CIFRA
RSFN,177.0,"time.struct_time(tm_year=2017, tm_mon=5, tm_mday=8, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=128, tm_isdst=-1)",Não,65913436,Guide Investimentos S.A. Corretora de Valores,GUIDE
RSFN,633.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,68900810,Banco Rendimento S.A.,BCO RENDIMENTO S.A.
RSFN,218.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,71027866,Banco BS2 S.A.,BCO BS2 S.A.
RSFN,169.0,"time.struct_time(tm_year=2016, tm_mon=11, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=321, tm_isdst=-1)",Não,71371686,Banco Olé Bonsucesso Consignado S.A.,BCO OLÉ BONSUCESSO CONSIGNADO S.A.
Internet,80.0,"time.struct_time(tm_year=2010, tm_mon=11, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=322, tm_isdst=-1)",Não,73622748,BT Corretora de Câmbio Ltda.,B&T CC LTDA.
RSFN,753.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,74828799,Novo Banco Continental S.A. - Banco Múltiplo,NOVO BCO CONTINENTAL S.A. - BM
RSFN,222.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,75647891,Banco Credit Agrícole Brasil S.A.,BCO CRÉDIT AGRICOLE BR S.A.
RSFN,754.0,"time.struct_time(tm_year=2015, tm_mon=7, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=196, tm_isdst=-1)",Não,76543115,Banco Sistema S.A.,BANCO SISTEMA
RSFN,98.0,"time.struct_time(tm_year=2011, tm_mon=1, tm_mday=18, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=18, tm_isdst=-1)",Sim,78157146,Credialiança Cooperativa de Crédito Rural,CREDIALIANÇA CCR
RSFN,610.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,78626983,Banco VR S.A.,BCO VR S.A.
RSFN,712.0,"time.struct_time(tm_year=2014, tm_mon=1, tm_mday=28, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=28, tm_isdst=-1)",Não,78632767,Banco Ourinvest S.A.,BCO OURINVEST S.A.
RSFN,10.0,"time.struct_time(tm_year=2012, tm_mon=12, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=345, tm_isdst=-1)",Sim,81723108,Credicoamo Crédito Rural Cooperativa,CREDICOAMO
RSFN,33.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,90400888,Banco Santander (Brasil) S. A.,BCO SANTANDER (BRASIL) S.A.
RSFN,217.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,91884981,Banco John Deere S.A.,BANCO JOHN DEERE S.A.
RSFN,41.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,92702067,Banco do Estado do Rio Grande do Sul S.A.,BCO DO ESTADO DO RS S.A.
Internet,117.0,"time.struct_time(tm_year=2011, tm_mon=10, tm_mday=3, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=276, tm_isdst=-1)",Não,92856905,Advanced Corretora de Câmbio Ltda.,ADVANCED CC LTDA
RSFN,654.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,92874270,Banco A. J. Renner S.A.,BCO A.J. RENNER S.A.
RSFN,212.0,"time.struct_time(tm_year=2002, tm_mon=4, tm_mday=22, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=112, tm_isdst=-1)",Sim,92894922,Banco Original S.A.,BANCO ORIGINAL
